kanji,level
日,10
一,10
人,10
年,10
大,10
十,10
二,10
本,10
中,10
出,10
三,10
見,10
月,10
生,10
五,10
上,10
四,10
金,10
九,10
入,10
立,10
手,10
力,10
学,10
円,10
子,10
目,10
田,10
八,10
六,10
下,10
気,10
小,10
七,10
山,10
正,10
女,10
百,10
先,10
名,10
川,10
文,10
千,10
水,10
男,10
村,10
口,10
町,10
校,10
空,10
土,10
木,10
車,10
石,10
足,10
早,10
白,10
字,10
音,10
天,10
火,10
花,10
赤,10
青,10
竹,10
右,10
森,10
左,10
休,10
林,10
王,10
玉,10
夕,10
雨,10
草,10
犬,10
耳,10
虫,10
糸,10
貝,10
国,9
会,9
長,9
同,9
時,9
自,9
行,9
社,9
分,9
後,9
前,9
間,9
東,9
地,9
合,9
市,9
内,9
方,9
今,9
回,9
新,9
場,9
米,9
高,9
明,9
京,9
通,9
外,9
言,9
理,9
体,9
当,9
首,9
来,9
作,9
用,9
強,9
公,9
野,9
思,9
家,9
話,9
多,9
数,9
記,9
北,9
午,9
心,9
点,9
教,9
書,9
活,9
原,9
交,9
元,9
近,9
考,9
画,9
海,9
売,9
組,9
知,9
道,9
引,9
半,9
計,9
直,9
朝,9
西,9
台,9
広,9
電,9
少,9
工,9
語,9
止,9
聞,9
切,9
食,9
何,9
南,9
番,9
算,9
楽,9
万,9
店,9
線,9
声,9
親,9
形,9
頭,9
毎,9
門,9
答,9
夜,9
帰,9
谷,9
古,9
歌,9
買,9
光,9
科,9
細,9
図,9
週,9
丸,9
室,9
太,9
歩,9
風,9
紙,9
母,9
黒,9
戸,9
春,9
読,9
色,9
友,9
走,9
園,9
秋,9
馬,9
父,9
夏,9
顔,9
船,9
羽,9
岩,9
角,9
池,9
星,9
寺,9
遠,9
絵,9
曜,9
弱,9
肉,9
晴,9
鳥,9
冬,9
里,9
昼,9
茶,9
雪,9
弟,9
毛,9
牛,9
魚,9
兄,9
黄,9
雲,9
鳴,9
矢,9
妹,9
姉,9
才,9
麦,9
刀,9
弓,9
汽,9
事,8
発,8
対,8
部,8
者,8
業,8
相,8
定,8
員,8
開,8
問,8
代,8
実,8
決,8
動,8
全,8
表,8
調,8
化,8
主,8
題,8
意,8
度,8
期,8
持,8
取,8
都,8
和,8
平,8
世,8
受,8
区,8
県,8
進,8
安,8
院,8
指,8
界,8
第,8
予,8
向,8
勝,8
面,8
委,8
反,8
重,8
集,8
物,8
使,8
所,8
次,8
品,8
死,8
係,8
感,8
投,8
打,8
始,8
島,8
両,8
式,8
運,8
終,8
住,8
談,8
真,8
流,8
有,8
局,8
放,8
球,8
急,8
送,8
役,8
身,8
由,8
転,8
研,8
消,8
神,8
配,8
宮,8
究,8
育,8
起,8
着,8
乗,8
想,8
病,8
農,8
州,8
待,8
族,8
銀,8
助,8
追,8
商,8
葉,8
落,8
医,8
仕,8
去,8
味,8
負,8
写,8
守,8
美,8
命,8
福,8
整,8
横,8
深,8
申,8
様,8
港,8
注,8
階,8
