kanji	kanken	jlpt	wanikani	grade	frequency	kunyomi	onyomi	meanings
日	10	N5	WK2	G1	FQ1	ひ,-び,-か	にち,じつ	Day,Sun,Japan,Counter For Days
一	10	N5	WK1	G1	FQ2	ひと-,ひと.つ	いち,いつ	One,One Radical (no.1)
人	10	N5	WK1	G1	FQ5	ひと,-り,-と	じん,にん	Person
年	10	N5	WK4	G1	FQ6	とし	ねん	Year,Counter For Years
大	10	N5	WK1	G1	FQ7	おお-,おお.きい,-おお.いに	だい,たい	Large,Big
十	10	N5	WK1	G1	FQ8	とお,と	じゅう,じっ,じゅっ	Ten
二	10	N5	WK1	G1	FQ9	ふた,ふた.つ,ふたたび	に,じ	Two,Two Radical (no. 7)
本	10	N5	WK2	G1	FQ10	もと	ほん	Book,Present,Main,Origin,True,Real,Counter For Long Cylindrical Things
中	10	N5	WK2	G1	FQ11	なか,うち,あた.る	ちゅう	In,Inside,Middle,Mean,Center
出	10	N5	WK2	G1	FQ13	で.る,-で,だ.す,-だ.す,い.でる,い.だす	しゅつ,すい	Exit,Leave,Go Out,Come Out,Put Out,Protrude
三	10	N5	WK1	G1	FQ14	み,み.つ,みっ.つ	さん,ぞう	Three
見	10	N5	WK4	G1	FQ22	み.る,み.える,み.せる	けん	See,Hopes,Chances,Idea,Opinion,Look At,Visible
月	10	N5	WK2	G1	FQ23	つき	げつ,がつ	Month,Moon
生	10	N5	WK3	G1	FQ29	い.きる,い.かす,い.ける,う.まれる,うま.れる,う.まれ,うまれ,う.む,お.う,は.える,は.やす,き,なま,なま-,な.る,な.す,む.す,-う	せい,しょう	Life,Genuine,Birth
五	10	N5	WK2	G1	FQ31	いつ,いつ.つ	ご	Five
上	10	N5	WK1	G1	FQ35	うえ,-うえ,うわ-,かみ,あ.げる,-あ.げる,あ.がる,-あ.がる,あ.がり,-あ.がり,のぼ.る,のぼ.り,のぼ.せる,のぼ.す,たてまつ.る	じょう,しょう,しゃん	Above,Up
四	10	N5	WK2	G1	FQ47	よ,よ.つ,よっ.つ,よん	し	Four
金	10	N5	WK5	G1	FQ53	かね,かな-,-がね	きん,こん,ごん	Gold
九	10	N5	WK1	G1	FQ55	ここの,ここの.つ	きゅう,く	Nine
入	10	N5	WK1	G1	FQ56	い.る,-い.る,-い.り,い.れる,-い.れ,はい.る	にゅう,じゅ	Enter,Insert
立	10	N4	WK2	G1	FQ58	た.つ,-た.つ,た.ち-,た.てる,-た.てる,た.て-,たて-,-た.て,-だ.て,-だ.てる	りつ,りゅう,りっとる	Stand Up,Rise,Set Up,Erect
手	10	N4	WK2	G1	FQ60	て,て-,-て,た-	しゅ,ず	Hand
力	10	N4	WK1	G1	FQ62	ちから	りょく,りき,りい	Power,Strength,Strong,Strain,Bear Up,Exert
学	10	N5	WK5	G1	FQ63	まな.ぶ	がく	Study,Learning,Science
円	10	N5	WK2	G1	FQ69	まる.い,まる,まど,まど.か,まろ.やか	えん	Circle,Yen,Round
子	10	N5	WK2	G1	FQ72	こ,-こ,ね	し,す,つ	Child,Sign Of The Rat,11pm-1am,First Sign Of Chinese Zodiac
目	10	N4	WK2	G1	FQ76	め,-め,ま-	もく,ぼく	Eye,Class,Look,Insight,Experience,Care,Favor
田	10	N4	WK2	G1	FQ90	た	でん	Rice Field,Rice Paddy
八	10	N5	WK1	G1	FQ92	や,や.つ,やっ.つ,よう	はち	Eight,Eight Radical (no. 12)
六	10	N5	WK2	G1	FQ93	む,む.つ,むっ.つ,むい	ろく,りく	Six
下	10	N5	WK1	G1	FQ97	した,しも,もと,さ.げる,さ.がる,くだ.る,くだ.り,くだ.す,-くだ.す,くだ.さる,お.ろす,お.りる	か,げ	Below,Down,Descend,Give,Low,Inferior
